Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Name_2,description_2,timestamp_2,begin_2,end_2,altitudeMode_2,tessellate_2,extrude_2,visibility_2,drawOrder_2,icon_2
"3",3<BR>ECID=6284e82d-2389-46d3-8123-b5d0d2369503<BR>ID=6284e82d-2389-46d3-8123-b5d0d2369503<BR>LABEL=UNIT:3||Abutia Amegame|2019226<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=3<BR>DATE=2019-02-26T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"4",4<BR>ECID=2a464062-bb72-417e-ba88-19940eb01f2e<BR>ID=2a464062-bb72-417e-ba88-19940eb01f2e<BR>LABEL=UNIT:4||Abutia Amegame|2019226<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=4<BR>DATE=2019-02-26T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"5",5<BR>ECID=f18a7bff-3188-4ec5-8e8b-6ad3bc8b589f<BR>ID=f18a7bff-3188-4ec5-8e8b-6ad3bc8b589f<BR>LABEL=UNIT:5||Abutia Amegame|2019226<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=5<BR>DATE=2019-02-26T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"6",6<BR>ECID=852c2ea8-b81d-45ba-acd8-1181b06be45a<BR>ID=852c2ea8-b81d-45ba-acd8-1181b06be45a<BR>LABEL=UNIT:6||Abutia Amegame|2019226<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=6<BR>DATE=2019-02-26T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"7",7<BR>ECID=6b6b32f6-a0f4-49ce-8de6-b73ac5435825<BR>ID=6b6b32f6-a0f4-49ce-8de6-b73ac5435825<BR>LABEL=UNIT:7||Abutia Amegame|2019226<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=7<BR>DATE=2019-02-26T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"724",724<BR>ECID=8d64001b-52a1-48cf-b3d8-fb2b4895fb11<BR>ID=8d64001b-52a1-48cf-b3d8-fb2b4895fb11<BR>LABEL=UNIT:724||Abutia Amegame|201999<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=724<BR>DATE=2019-09-09T15:10:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"769",769<BR>ECID=663604dd-c049-4e58-a2cc-473dfa876bf9<BR>ID=663604dd-c049-4e58-a2cc-473dfa876bf9<BR>LABEL=UNIT:769||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=769<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"769.1",769.1<BR>ECID=a9a83909-2fe9-4785-bf86-5695cd55fb19<BR>ID=a9a83909-2fe9-4785-bf86-5695cd55fb19<BR>LABEL=UNIT:769.1||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=769.1<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"769.2",769.2<BR>ECID=910429ed-1349-4c67-a6f7-a6704bf487e2<BR>ID=910429ed-1349-4c67-a6f7-a6704bf487e2<BR>LABEL=UNIT:769.2||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=769.2<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"769.3",769.3<BR>ECID=64ce3237-0497-4a38-90ee-9e5f8f28972e<BR>ID=64ce3237-0497-4a38-90ee-9e5f8f28972e<BR>LABEL=UNIT:769.3||Abutia Amegame|2019930<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=769.3<BR>DATE=2019-09-30T12:05:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
