BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AGE3080	1	Chrysomelidae	1	T
BOLD:AGE3094	1	Scarabaeidae	1	T
BOLD:AGE3102	2	Elateridae	2	T
BOLD:AGE3118	1	Scarabaeidae	1	T
BOLD:AGE3125	1	Scarabaeidae	1	T
BOLD:AGE3127	1	Carabidae	1	T
BOLD:AGE3137	2	Scarabaeidae	2	T
BOLD:AGE3140	1	Scarabaeidae	1	T
BOLD:AGE3145	1	Cerambycidae	1	T
BOLD:AGE3146	1	Chrysomelidae	1	T
BOLD:AGE3152	1	Scarabaeidae	1	T
BOLD:AGE3153	2	Staphylinidae	2	T
BOLD:AGE3154	6	Cicindelinae	6	T
BOLD:AGE3155	1	Drilini	1	T
BOLD:AGE3157	1	Carabidae	1	T
BOLD:AGE3159	1	Scarabaeidae	1	T
BOLD:AGE3160	1	Carabidae	1	T
BOLD:AGE3278	1	Cleridae	1	T
BOLD:AGE3830	1	Chloropidae	1	T
BOLD:AGE3895	1	Chironomidae	1	T
BOLD:AGE4049	1	Cerambycidae	1	T
BOLD:AGE4503	1	Cecidomyiidae	1	T
BOLD:AGE4870	3	Carabidae	3	T
BOLD:AGE4871	2	Carabidae	2	T
BOLD:AGE4872	1	Carabidae	1	T
BOLD:AGE4873	1	Carabidae	1	T
BOLD:AGE4875	1	Carabidae	1	T
BOLD:AGE4876	1	Carabidae	1	T
BOLD:AGE4877	1	Carabidae	1	T
BOLD:AGE4878	1	Carabidae	1	T
BOLD:AGE4879	1	Carabidae	1	T
BOLD:AGE5150	1	Bucculatricidae	1	T
BOLD:AGE5205	1	Euphorinae	1	T
BOLD:AGE5208	1	Doryctinae	1	T
BOLD:AGE5324	1	Blattodea	1	T
BOLD:AGE5325	3	Blattodea	3	T
BOLD:AGE5930	1	Arachnida	1	T
BOLD:AGE5934	1	Arachnida	1	T
BOLD:AGE5935	1	Arachnida	1	T
BOLD:AGE5955	2	Aphrophoridae	2	T
BOLD:AGE6359	1	Agrypninae	1	T
BOLD:AGE6383	2	Coccygidium	2	T
BOLD:AGE7424	2	Scarabaeidae	2	T
BOLD:AGE7614	2	Rogadinae	2	T
BOLD:AGE7967	3	Pyrrhocoridae	3	T
BOLD:AGE8097	2	Cydnidae	2	T
BOLD:AGE8769	1	Acontiinae	1	T
BOLD:AGE8912	1	Staphylinidae	1	T
BOLD:AGE8973	1	Carabidae	1	T
BOLD:AGE9058	2	Spilomelinae	2	T
BOLD:AGG2840	2	Pyralidae	2	T
BOLD:AAA0965	182	Galleriinae	3	F
BOLD:AAA2326	4298	Apis	13	F
BOLD:AAA2393	203	Sphinginae	21	F
BOLD:AAA3666	552	Spilomelinae	3	F
BOLD:AAA3965	444	Spilomelinae	4	F
BOLD:AAA3967	86	Spilomelinae	15	F
BOLD:AAA4631	174	Macroglossinae	8	F
BOLD:AAA5223	1736	Helicoverpa	3	F
BOLD:AAA5853	378	Formicinae	36	F
BOLD:AAA6020	734	Muscinae	3	F
BOLD:AAA6021	556	Muscinae	41	F
BOLD:AAA6139	292	Isturgia deerraria	3	F
BOLD:AAA6140	97	Ennominae	13	F
BOLD:AAA6144	42	Ennominae	1	F
BOLD:AAA6622	273	Saturniinae	1	F
BOLD:AAA6644	843	Noctuinae	2	F
BOLD:AAA6702	83	Saturniinae	3	F
BOLD:AAA8493	104	Erebinae	5	F
BOLD:AAA8548	63	Macroglossinae	3	F
BOLD:AAA8550	30	Macroglossinae	5	F
BOLD:AAA8981	27	Bagisarinae	13	F
BOLD:AAA8982	475	Bagisarinae	204	F
BOLD:AAA9360	18	Sterrhinae	1	F
BOLD:AAA9585	124	Smerinthinae	5	F
BOLD:AAA9752	22	Ennominae	6	F
BOLD:AAA9753	19	Ennominae	1	F
BOLD:AAA9756	30	Ennominae	4	F
BOLD:AAA9757	43	Ennominae	11	F
BOLD:AAA9867	108	Macroglossinae	3	F
BOLD:AAB0451	89	Macroglossinae	6	F
BOLD:AAB0452	91	Macroglossinae	15	F
BOLD:AAB0645	114	Macroglossinae	11	F
BOLD:AAB1719	128	Spilomelinae	2	F
BOLD:AAB2462	131	Phycitinae	1	F
BOLD:AAB2756	1110	Spilomelinae	39	F
BOLD:AAB2945	100	Hypocalinae	1	F
BOLD:AAB3301	25	Macroglossinae	1	F
BOLD:AAB3384	1066	Plusiinae	1	F
BOLD:AAB3385	162	Plusiinae	11	F
BOLD:AAB3452	44	Macroglossinae	3	F
BOLD:AAB4561	19	Smerinthinae	2	F
BOLD:AAB4649	138	Chloephorinae	25	F
BOLD:AAB4914	105	Geometrinae	7	F
