Lot ID,Transect,Store,Latitude,Longitude,Date,Quantity,Habitat,Check Date,Distance,Type,Created By User,Created On,Day,Day 1,Date Verbatim,Direction Of Observation,Locality
587,2_MA_NW_1,Ghana freezer,6.21121,0.436849642,31/07/2019 01:00,0,Savannah,,10,Yellow Pan,benadams,28/08/2019 19:36,31,,,,Mafi Agorve
586.4,2_MA_NW_1,,6.21121,0.43694,31/07/2019 01:00,0,,,0,Malaise,talya,25/02/2022 14:15,31,,,,Mafi Agorve
586.3,2_MA_NW_1,,6.21121,0.43694,31/07/2019 01:00,0,,,0,Malaise,talya,25/02/2022 14:06,31,,,,Mafi Agorve
586.2,2_MA_NW_1,,6.21121,0.43694,31/07/2019 01:00,0,,,0,Malaise,talya,25/02/2022 13:43,31,,,,Mafi Agorve
586.1,2_MA_NW_1,,6.21121,0.43694,31/07/2019 01:00,0,,,0,Malaise,talya,25/02/2022 13:18,31,,,,Mafi Agorve
586,2_MA_NW_1,Ghana freezer,6.21121,0.43694,31/07/2019 01:00,0,Savannah,,0,Malaise,benadams,28/08/2019 19:34,31,,,,Mafi Agorve
585,2_MA_NE_1,Ghana freezer,6.211215764,0.443964428,31/07/2019 00:15,0,Savannah,,40,Pitfall,benadams,28/08/2019 19:33,31,,,,Mafi Agorve
584,2_MA_NE_1,Ghana freezer,6.211151823,0.444028321,31/07/2019 00:15,0,Savannah,,30,Pitfall,benadams,28/08/2019 19:32,31,,,,Mafi Agorve
583,2_MA_NE_1,Ghana freezer,6.211087882,0.444092214,31/07/2019 00:15,0,Savannah,,20,Pitfall,benadams,28/08/2019 19:30,31,,,,Mafi Agorve
582,2_MA_NE_1,Ghana freezer,6.211023941,0.444156107,31/07/2019 00:15,0,Savannah,,10,Pitfall,benadams,28/08/2019 16:12,31,,,,Mafi Agorve
581,2_MA_NE_1,Ghana freezer,6.211215764,0.443964428,31/07/2019 00:15,0,Savannah,,40,Yellow Pan,benadams,28/08/2019 16:05,31,,,,Mafi Agorve
580,2_MA_NE_1,Ghana freezer,6.211151823,0.444028321,31/07/2019 00:15,0,Savannah,,30,Yellow Pan,benadams,28/08/2019 16:02,31,,,,Mafi Agorve
58,MA03,Ghana freezer,6.211493,0.439381,28/02/2019 00:00,0,Savannah,12/02/2019,0,Malaise,donkoryaw,12/02/2020 10:14,28,,,,Mafi Agorve
579,2_MA_NE_1,Ghana freezer,6.211087882,0.444092214,31/07/2019 00:15,0,Savannah,,20,Yellow Pan,benadams,28/08/2019 15:40,31,,,,Mafi Agorve
578,2_MA_NE_1,Ghana freezer,6.211023941,0.444156107,31/07/2019 00:15,0,Savannah,,10,Yellow Pan,benadams,28/08/2019 15:38,31,,,,Mafi Agorve
577.4,2_MA_NE_1,,6.21096,0.44422,31/07/2019 00:15,0,,,0,Malaise,talya,25/02/2022 14:15,31,,,,Mafi Agorve
577.3,2_MA_NE_1,,6.21096,0.44422,31/07/2019 00:15,0,,,0,Malaise,talya,25/02/2022 14:06,31,,,,Mafi Agorve
577.2,2_MA_NE_1,,6.21096,0.44422,31/07/2019 00:15,0,,,0,Malaise,talya,25/02/2022 13:43,31,,,,Mafi Agorve
577.1,2_MA_NE_1,,6.21096,0.44422,31/07/2019 00:15,0,,,0,Malaise,talya,25/02/2022 13:18,31,,,,Mafi Agorve
577,2_MA_NE_1,Ghana freezer,6.21096,0.44422,31/07/2019 00:15,0,Savannah,,0,Malaise,benadams,28/08/2019 14:23,31,,,,Mafi Agorve
