BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AEX4593	1	Vespidae	1	T
BOLD:AEX4758	4	Orthoptera	4	T
BOLD:AEX4849	1	Halictidae	1	T
BOLD:AEX4853	1	Torymidae	1	T
BOLD:AEX4927	4	Hemiptera	1	T
BOLD:AEX4927	4	Insecta	1	T
BOLD:AEX4927	4	Triozidae	2	T
BOLD:AEX4947	1	Mymaridae	1	T
BOLD:AEX4989	1	Ceratopogonidae	1	T
BOLD:AEX5108	1	Cecidomyiidae	1	T
BOLD:AEX5232	1	Cecidomyiidae	1	T
BOLD:AEX5262	5	Chrysidinae	5	T
BOLD:AEX5396	1	Cecidomyiidae	1	T
BOLD:AEX5816	1	Platystomatidae	1	T
BOLD:AEX5817	1	Cecidomyiidae	1	T
BOLD:AEX6057	6	Formicidae	6	T
BOLD:AEX6218	1	Gelechiidae	1	T
BOLD:AEX6252	3	Cecidomyiidae	3	T
BOLD:AEX6363	1	Staphylinidae	1	T
BOLD:AEX6473	4	Tachinidae	4	T
BOLD:AEX6685	2	Cecidomyiidae	2	T
BOLD:AEX6686	11	Desmometopa	4	T
BOLD:AEX6686	11	Madizinae	7	T
BOLD:AEX6848	1	Cecidomyiidae	1	T
BOLD:AEX7014	1	Solenopsis	1	T
BOLD:AEX7015	1	Euphorinae	1	T
BOLD:AEX7020	2	Cecidomyiidae	2	T
BOLD:AEX7038	1	Tachytes	1	T
BOLD:AEX7042	2	Pemphredonidae	2	T
BOLD:AEX7064	2	Tachytes	2	T
BOLD:AEX7118	1	Anteoninae	1	T
BOLD:AEX7133	3	Entomobryomorpha	3	T
BOLD:AEX7173	4	Diptera	1	T
BOLD:AEX7173	4	Hybotidae	3	T
BOLD:AEX7263	1	Phoridae	1	T
BOLD:AEX7550	3	Crabronidae	1	T
BOLD:AEX7550	3	Larra	2	T
BOLD:AEX7592	19	Monomorium	10	T
BOLD:AEX7592	19	Myrmicinae	9	T
BOLD:AEX7721	1	Ceratopogonidae	1	T
BOLD:AEX8016	1	Triozidae	1	T
BOLD:AEX8019	1	Hemiptera	1	T
BOLD:AEX8028	5	Muscidae	5	T
BOLD:AEX8186	1	Pipunculidae	1	T
BOLD:AEX8227	2	Ichneumonidae	2	T
BOLD:AEX8236	1	Locris maculata	1	T
BOLD:AEX8244	1	Cecidomyiidae	1	T
BOLD:AEX8271	1	Cicadellidae	1	T
BOLD:AEX8276	3	Pison	3	T
BOLD:AEX8319	1	Mythicomyiinae	1	T
BOLD:AEX8390	2	Agromyzidae	1	T
BOLD:AEX8390	2	Diptera	1	T
BOLD:AEX8586	2	Chrysididae	2	T
BOLD:AEX8650	2	Acrididae	2	T
BOLD:AEX8662	1	Throscidae	1	T
BOLD:AEX8714	1	Formicidae	1	T
BOLD:AEX8753	5	Chrysomelidae	1	T
BOLD:AEX8753	5	Coleoptera	4	T
BOLD:AEX8949	4	Chironomidae	4	T
BOLD:AEX8961	1	Tachinidae	1	T
BOLD:AEX9055	2	Platygastridae	2	T
BOLD:AEX9093	1	Cicadellidae	1	T
BOLD:AEX9104	8	Entomobryomorpha	8	T
BOLD:AEX9146	1	Tineidae	1	T
BOLD:AEX9437	2	Crabronidae	1	T
BOLD:AEX9437	2	Tachysphex	1	T
BOLD:AEX9601	1	Hybotidae	1	T
BOLD:AEX9692	2	Rhyparochromidae	2	T
BOLD:AEX9886	1	Orthoptera	1	T
BOLD:AEY0127	15	Formicidae	15	T
BOLD:AEY0262	9	Histeridae	9	T
BOLD:AEY0344	1	Cecidomyiidae	1	T
BOLD:AEY0414	1	Cecidomyiidae	1	T
BOLD:AEY0490	2	Cecidomyiidae	2	T
BOLD:AEY0554	1	Cecidomyiidae	1	T
