BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AEM3441	9	Aleocharinae	9	T
BOLD:AEM3443	40	Carabidae	40	T
BOLD:AEM3445	23	Hydrophilidae	23	T
BOLD:AEM3446	14	Scydmaeninae	14	T
BOLD:AEM3480	1	Lepidoptera	1	T
BOLD:AEM3510	2	Chironomidae	2	T
BOLD:AEM3531	4	Scydmaeninae	4	T
BOLD:AEM3533	13	Aphodiinae	13	T
BOLD:AEM3536	4	Dytiscidae	4	T
BOLD:AEM3549	1	Notodontidae	1	T
BOLD:AEM3572	1	Arachnida	1	T
BOLD:AEM3600	5	Delphacidae	5	T
BOLD:AEM3608	1	Aleocharinae	1	T
BOLD:AEM3613	2	Staphylininae	2	T
BOLD:AEM3614	3	Paederinae	3	T
BOLD:AEM3615	6	Anthicidae	6	T
BOLD:AEM3616	4	Dytiscidae	4	T
BOLD:AEM3618	23	Aleocharinae	23	T
BOLD:AEM3635	1	Hydroptilidae	1	T
BOLD:AEM3661	1	Aphelinidae	1	T
BOLD:AEM3756	5	Paederinae	5	T
BOLD:AEM3761	1	Pselaphinae	1	T
BOLD:AEM3762	1	Tenebrionidae	1	T
BOLD:AEM3766	1	Hydrophilidae	1	T
BOLD:AEM3775	1	Ceratopogonidae	1	T
BOLD:AEM3777	2	Ceratopogonidae	2	T
BOLD:AEM3778	1	Ceratopogonidae	1	T
BOLD:AEM3780	1	Ceratopogonidae	1	T
BOLD:AEM3781	1	Chironomidae	1	T
BOLD:AEM3791	2	Lepidoptera	2	T
BOLD:AEM3801	1	Achilidae	1	T
BOLD:AEM3802	1	Oxycarenus	1	T
BOLD:AEM3803	1	Cicadellidae	1	T
BOLD:AEM3852	3	Cicadellidae	3	T
BOLD:AEM3853	1	Merophysiinae	1	T
BOLD:AEM3874	2	Lysitermini	2	T
BOLD:AEM3879	1	Cecidomyiidae	1	T
BOLD:AEM3880	2	Cecidomyiidae	2	T
BOLD:AEM3886	6	Bethylidae	6	T
BOLD:AEM3942	1	Cecidomyiidae	1	T
BOLD:AEM3991	10	Miridae	10	T
BOLD:AEM3992	2	Aleyrodidae	2	T
BOLD:AEM3996	6	Rhyparochromidae	6	T
BOLD:AEM4006	4	Phanerotoma	4	T
BOLD:AEM4007	59	Dytiscidae	59	T
BOLD:AEM4013	1	Coniopterygidae	1	T
BOLD:AEM4020	7	Delphacidae	7	T
BOLD:AEM4022	32	Delphacinae	32	T
BOLD:AEM4049	1	Cicadellidae	1	T
BOLD:AEM4051	1	Aleyrodidae	1	T
BOLD:AEM4058	2	Erebidae	2	T
BOLD:AEM4067	8	Tortricidae	8	T
BOLD:AEM4087	12	Aleocharinae	12	T
BOLD:AEM4121	5	Dytiscidae	5	T
BOLD:AEM4137	1	Ceratopogonidae	1	T
BOLD:AEM4139	20	Ceratopogonidae	20	T
BOLD:AEM4165	1	Cicadellidae	1	T
BOLD:AEM4191	2	Arachnida	2	T
BOLD:AEM4216	2	Ephemeroptera	2	T
BOLD:AEM4243	3	Cecidomyiidae	3	T
BOLD:AEM4247	1	Chironomidae	1	T
BOLD:AEM4251	2	Pselaphinae	2	T
BOLD:AEM4270	18	Paederinae	18	T
BOLD:AEM4283	13	Dytiscidae	13	T
BOLD:AEM4304	1	Rhysipolinae	1	T
BOLD:AEM4314	8	Oxytelinae	8	T
BOLD:AEM4325	1	Sciaridae	1	T
BOLD:AEM4336	8	Scaritinae	8	T
BOLD:AEM4380	1	Miridae	1	T
BOLD:AEM4406	1	Cosmopterigidae	1	T
BOLD:AEM4431	9	Cicadellidae	9	T
BOLD:AEM4441	1	Eulophidae	1	T
BOLD:AEM4453	1	Arachnida	1	T
BOLD:AEM4458	2	Pselaphinae	2	T
BOLD:AEM4459	1	Carabidae	1	T
BOLD:AEM4475	1	Carabidae	1	T
BOLD:AEM4513	4	Cilea	4	T
BOLD:AEM4514	21	Hydrophilidae	21	T
BOLD:AEM4515	1	Dytiscidae	1	T
BOLD:AEM4520	22	Cixiidae	22	T
BOLD:AEM4533	16	Achilidae	16	T
BOLD:AEM4544	2	Scydmaeninae	2	T
BOLD:AEM4561	1	Ceratopogonidae	1	T
BOLD:AEM4563	1	Cicadellidae	1	T
BOLD:AEM4571	1	Paederinae	1	T
BOLD:AEM4572	6	Ptinidae	6	T
BOLD:AEM4580	85	Hydrophilidae	85	T
BOLD:AEM4592	1	Cicadellidae	1	T
BOLD:AEM4595	1	Lymaenon	1	T
BOLD:AEM4629	65	Aleocharinae	65	T
BOLD:AEM4647	5	Euaesthetinae	5	T
BOLD:AEM4653	18	Oxytelinae	18	T
BOLD:AEM4720	3	Carabidae	3	T
BOLD:AEM4732	4	Hydraenidae	4	T
BOLD:AEM4790	5	Formicidae	5	T
BOLD:AEM4791	1	Rhyparochromidae	1	T
BOLD:AEM4814	5	Dytiscidae	5	T
BOLD:AEM4815	1	Aleocharinae	1	T
BOLD:AEM4817	2	Oxytelinae	2	T
BOLD:AEM4819	5	Paederinae	2	T
BOLD:AEM4819	5	Staphylinidae	3	T
BOLD:AEM4820	3	Dytiscidae	3	T
BOLD:AEM4821	5	Aleocharinae	5	T
BOLD:AEM4822	1	Scydmaeninae	1	T
BOLD:AEM5663	3	Xyleborus ferrugineus	3	T
BOLD:AEN9222	1	Salpingidae	1	T
BOLD:AEN9622	2	Oxytelinae	2	T
BOLD:AEO0913	2	Staphylininae	2	T
BOLD:AEO1007	1	Cicadellidae	1	T
BOLD:AEO2766	1	Lepidoptera	1	T
BOLD:AEO4263	1	Trichogrammatidae	1	T
BOLD:AEO4548	1	Cicadellidae	1	T
BOLD:AEO5082	2	Oxytelinae	2	T
BOLD:AEU5784	1	Ceratocombidae	1	T
BOLD:AEU5801	2	Delphacidae	2	T
BOLD:AEU5814	1	Phanerotoma	1	T
BOLD:AEU5855	2	Gelechiidae	2	T
BOLD:AEU5857	1	Lepidoptera	1	T
BOLD:AEU5858	1	Phycitinae	1	T
BOLD:AEU5876	1	Lepidoptera	1	T
BOLD:AEU5881	1	Miridae	1	T
BOLD:AEU5901	3	Euphorinae	3	T
BOLD:AEU5921	1	Doryctinae	1	T
BOLD:AEU5953	1	Formicidae	1	T
BOLD:AEU5985	1	Cecidomyiidae	1	T
BOLD:AEU6000	1	Theridiidae	1	T
BOLD:AEU6038	4	Achilidae	4	T
BOLD:AEU6067	1	Colydiinae	1	T
BOLD:AEU6083	1	Carabidae	1	T
BOLD:AEU6084	1	Curculionidae	1	T
BOLD:AEU6086	1	Tenebrionidae	1	T
BOLD:AEU6112	37	Cecidomyiidae	37	T
BOLD:AEU6114	1	Staphylinidae	1	T
BOLD:AEU6156	1	Hemiptera	1	T
BOLD:AEU6157	1	Cicadellidae	1	T
BOLD:AEU6176	1	Cecidomyiidae	1	T
BOLD:AEU6218	1	Meenoplidae	1	T
BOLD:AEU6225	1	Microchironomus	1	T
BOLD:AEU6232	1	Gelechiidae	1	T
BOLD:AEU6237	2	Chironominae	2	T
BOLD:AEU6259	1	Sciaridae	1	T
BOLD:AEU6262	1	Eulophidae	1	T
BOLD:AEU6265	1	Eulophidae	1	T
BOLD:AEU6266	1	Eulophidae	1	T
BOLD:AEU6299	1	Cecidomyiidae	1	T
BOLD:AEU6306	1	Eulophidae	1	T
BOLD:AEU6333	8	Carabidae	8	T
BOLD:AEU6338	1	Cecidomyiidae	1	T
BOLD:AEU6360	5	Bethylidae	5	T
BOLD:AEU6387	1	Cicadellidae	1	T
BOLD:AEU6404	1	Cicadellidae	1	T
BOLD:AEU6413	1	Cicadellidae	1	T
BOLD:AEU6418	1	Cecidomyiidae	1	T
BOLD:AEU6423	1	Chelonus	1	T
BOLD:AEU6432	1	Leptoceridae	1	T
BOLD:AEU6444	1	Mordellidae	1	T
BOLD:AEU6463	1	Cecidomyiidae	1	T
BOLD:AEU6465	6	Corixidae	6	T
BOLD:AEU6487	8	Paederinae	8	T
BOLD:AEU6488	1	Tenebrionidae	1	T
BOLD:AEU6496	1	Cicadellidae	1	T
BOLD:AEU6551	1	Ceratopogonidae	1	T
BOLD:AEU6553	3	Hydrophilidae	3	T
BOLD:AEU6563	1	Sphaeroceridae	1	T
BOLD:AEU6573	4	Tortricidae	4	T
BOLD:AEU6589	1	Nitidulidae	1	T
BOLD:AEU6612	1	Cecidomyiidae	1	T
BOLD:AEU6620	3	Gracillariidae	3	T
BOLD:AEU6625	2	Scarabaeidae	2	T
BOLD:AEU6638	1	Torymidae	1	T
BOLD:AEU6639	1	Ichneumonidae	1	T
BOLD:AEU6652	2	Doryctinae	2	T
BOLD:AEU6670	3	Pselaphinae	3	T
BOLD:AEU6674	2	Aphodiinae	2	T
BOLD:AEU6681	2	Cecidomyiidae	2	T
BOLD:AEU6689	1	Scelionidae	1	T
BOLD:AEU6711	1	Pteromalidae	1	T
BOLD:AEU6746	4	Nepticulidae	4	T
BOLD:AEU6765	2	Dytiscidae	2	T
BOLD:AEU6778	1	Cheloninae	1	T
BOLD:AEU6840	1	Eulophidae	1	T
BOLD:AEU6863	31	Mesostigmata	31	T
BOLD:AEU6911	1	Sarcoptiformes	1	T
BOLD:AEU6912	3	Arachnida	3	T
BOLD:AEU6926	3	Cicadellidae	3	T
BOLD:AEU6935	1	Gerridae	1	T
BOLD:AEU6963	1	Brachistini	1	T
BOLD:AEU6971	2	Limoniidae	2	T
BOLD:AEU6979	1	Ceratopogonidae	1	T
BOLD:AEU6985	1	Chrysomelidae	1	T
BOLD:AEU6999	1	Tachinidae	1	T
BOLD:AEU7003	2	Lepidoptera	2	T
BOLD:AEU7006	2	Delphacidae	2	T
BOLD:AEU7014	2	Tortricidae	2	T
BOLD:AEU7044	1	Lepidoptera	1	T
